,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
51303,Facebook,Canada,North America,North America,20-24,22.0,Male,Developer; Engineer; Programmer,,,,,,,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51349,Facebook,Canada,North America,North America,< 20,16.0,Male,Developer; Engineer; Programmer,Front-end web developer,Front-end web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,4.14,C; C++; C#; JavaScript; ReactJS,"Android; AngularJS; C; C++; Cloud (AWS, GAE, Azure, etc.); Go; Java; JavaScript; MongoDB; Node.js; ReactJS; Redis; Ruby",No,4.0,I'm a student,,,,,,,,Sublime; Android Studio; Visual Studio,Multiple times a day,10-20 hours per week,Dogs,Windows 10,I don't know,1,Multiple times a day,To keep my skills up to date,On-the-job training; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Job title; Company reputation; Building something that's innovative,The interview process,10%,Show me more live code; Be more flexible about interview scheduling; Introduce me to the team; interview_coffee; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree somewhat,Agree completely,Agree completely,Disagree somewhat,Neutral,I don't care about this,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,Inefficient development processes; Fragile code base; Unrealistic expectations,To get help for my job; Because I can't do my job without it; Beacause I love to learn
51440,Facebook,Canada,North America,North America,30-34,32.0,Male,Developer; Engineer; Programmer; Full-stack Developer; Full Stack Overflow Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$50,000 - $60,000",55000.0,4.14,AngularJS; Cordova; JavaScript; LAMP; MongoDB; Node.js; PHP,"Android; Arduino / Raspberry Pi; AngularJS; Cordova; Cloud (AWS, GAE, Azure, etc.); Go; JavaScript; MongoDB; Node.js; PHP; ReactJS; Redis; Swift; WordPress",Yes,4.0,Unemployed,,,,,,,,Sublime; Vim,Multiple times a day,2-5 hours per week,Dogs,Mac OS X,Yes,1,Multiple times a day,To pursue career goals,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field)",I am actively looking for a new job,Salary; Ability to make or influence important decisions; Tech stack; Company stage; Company financials; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company reputation; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,The interview process,20%,Show me more live code; Offer remote interviews (e.g. via video conference); Introduce me to the boss; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Neutral,Agree completely,Agree completely,Disagree completely,Agree completely,Disagree completely,Agree completely,I don't care about this,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,I don't care about this,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Corporate policies; Outdated technologies; Non-technical management; Interacting with non-technical people; Interacting with stupid people; Poor infrastructure or equipment; Changing requirements; Unspecific requirements; Limited resources; Trying to be nice,To get help for my job
51460,Facebook,Canada,North America,North America,40-49,44.5,Male,Developer; Programmer,other,,11+ years,13.0,"$80,000 - $90,000",85000.0,4.14,Java,Java,Other (please specify),7.0,Employed full-time,Other (please specify),"10,000+ employees",10-14 people,2,I rarely work remotely,I'm neither satisfied nor dissatisfied,A friend referred me,Vim,Once a day,5-10 hours per week,Cats,Ubuntu,Yes,"5,001 - 10,000",Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Building something that's innovative,Writing my CV and keeping it updated,10%,Show me more live code; Introduce me to the team; Show me the space in which I will work,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree completely,Disagree completely,Neutral,Agree somewhat,Neutral,Neutral,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; Beacause I love to learn
51736,Facebook,Canada,North America,North America,< 20,16.0,Male,Developer; Engineer; Programmer; Manager; Full-stack Developer; Hacker,Student,Student,2 - 5 years,3.5,"Less than $10,000",5000.0,4.14,Android; Java; JavaScript; LAMP; Node.js; PHP; Python; SQL,Android; Haskell; Java; Python; Rust; Scala; Swift,Yes,7.0,I'm a student,,,,,,,,Atom; Notepad++; Android Studio; Eclipse,Once a day,5-10 hours per week,Cats,Windows 10,No,1,Multiple times a day,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)","I'm not actively looking, but I am open to new opportunities",Salary; Opportunity for advancement; Company reputation,Writing cover letters,10%,Show me more live code; Fewer brainteasers,Star Wars,Agree somewhat,Neutral,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,Disagree somewhat,Agree somewhat,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,Inefficient development processes; Interacting with non-technical people; Interacting with stupid people,To get help for my job; Because I can't do my job without it
51880,Facebook,Canada,North America,North America,< 20,16.0,Male,Developer; Programmer; Hacker,Student,Student,1 - 2 years,1.5,Rather not say,,4.14,Android; Arduino / Raspberry Pi; C; Java; Python; Ruby,Arduino / Raspberry Pi; Haskell; JavaScript,Yes,8.0,I'm a student,,,,,,,,Atom; Vim; Android Studio,Once a day,5-10 hours per week,Cats,Mac OS X,Yes,I don't have an account,Once a day,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)",I am actively looking for a new job,Salary; Work/life balance; Office location; Quality of colleagues; Company culture; Company reputation; Flexible work hours,Writing cover letters,70%,Show me more live code; Be more flexible about interview scheduling; interview_coffee,Star Trek,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree completely,Agree completely,Disagree completely,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,I don't care about this,This is very important,This is somewhat important,This is very important,This is very important,Poor documentation; Corporate policies; Changing requirements,To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
51962,Facebook,Canada,North America,North America,20-24,22.0,Male,Developer; Engineer; Full-stack Developer,,,,,,,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51975,Facebook,Canada,North America,North America,35-39,37.0,Male,Developer,,,,,,,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52012,Facebook,Canada,North America,North America,30-34,32.0,Male,Developer; Programmer,Student,Student,Less than 1 year,0.5,"Less than $10,000",5000.0,4.14,,Android; AngularJS; iOS; Java; JavaScript; LAMP; MongoDB; Node.js; Objective-C; PHP; ReactJS; Ruby; SQL; SQL Server; Swift,No,2.0,Employed full-time,Not Currently Employed,I am not sure,I am not on a team,"I am not on a ""team""",Never,I love my job,I knew I wanted to work here. I sought out the opportunity directly,Notepad++; Sublime; Android Studio; Eclipse; NetBeans,A few times a month,1-2 hours per week,Dogs,Mac OS X,I don't know,1,Once a month,To pursue career goals,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.A. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Industry; Tech stack; Company size; Office location; Company culture; Company reputation; Building something that's significant; Remote working option; Flexible work hours,Writing my CV and keeping it updated,0%,interview_coffee,Star Wars,Neutral,Neutral,Neutral,Agree completely,Agree completely,Agree somewhat,Disagree somewhat,Neutral,Disagree somewhat,Agree completely,I don't care about this,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,Poor team dynamics; Unrealistic expectations; Limited resources,Because I can't do my job without it; To communicate with others like me; Beacause I love to learn
52439,Facebook,Canada,North America,North America,25-29,27.0,Male,Engineer,Mobile developer - Android,"Mobile Dev (Android, iOS, WP & Multi-Platform)",6 - 10 years,8.0,"$50,000 - $60,000",55000.0,4.14,"Android; Cloud (AWS, GAE, Azure, etc.); Java; Matlab; MongoDB; Node.js; Python",Clojure; Go; Python,Yes,7.0,Employed full-time,Software Products,20-99 employees,5-9 people,1,I rarely work remotely,I'm somewhat dissatisfied with my job,A friend referred me,Atom; Sublime; Vim; Android Studio; IntelliJ; IPython / Jupyter; PyCharm,Multiple times a day,10-20 hours per week,Cats,Mac OS X,I don't know,"501 - 1,000",Multiple times a day,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Quality of colleagues; Company culture; Company reputation,The interview process,50%,Be more flexible about interview scheduling; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars; Star Trek,Neutral,Agree completely,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,Disagree somewhat,Disagree somewhat,Disagree completely,Neutral,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,I don't care about this,Inefficient development processes; Fragile code base; Poor scheduling,To get help for my job; Because I can't do my job without it; whyso_onlinepresence; To receive help on my personal projects
52541,Facebook,Canada,North America,North America,20-24,22.0,Male,Developer; Engineer; Programmer; Ninja; Full-stack Developer,Student,Student,2 - 5 years,3.5,"$40,000 - $50,000",45000.0,4.14,Android; AngularJS; C++; C#; iOS; Java; JavaScript; Node.js; Objective-C; Python; Redis; SQL,"C#; Cloud (AWS, GAE, Azure, etc.); Haskell; JavaScript; Node.js; Redis",No,8.0,I'm a student,,,,,,,,Sublime; Android Studio; Eclipse; IntelliJ; Xcode,A couple times a week,2-5 hours per week,Dogs,Mac OS X,Yes,1,Once a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Mentorship program (e.g. Flatiron School, GDI, etc.); Some college coursework in Computer Science (or related field); B.A. in Computer Science (or related field)",I am actively looking for a new job,Salary; Equity; Ability to make or influence important decisions; Health insurance; Industry; Tech stack; Company size; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,Searching for a job that seems interesting,90%,Show me more live code; Introduce me to the team; Prepare me for who I will be speaking with,,Agree somewhat,Agree completely,Agree completely,Neutral,Agree completely,Disagree somewhat,Agree completely,Agree completely,Disagree completely,Agree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,Poor documentation; Outdated technologies; Interacting with stupid people,To get help for my job; To give help to others; Because I can't do my job without it; To receive help on my personal projects; Beacause I love to learn
52712,Facebook,Canada,North America,North America,< 20,16.0,Female,Developer; Programmer; Full-stack Developer; Hacker,Student,Student,2 - 5 years,3.5,Rather not say,,4.14,Android; Arduino / Raspberry Pi; C; C++; C#; Cordova; Java; MongoDB; Node.js; PHP; Python,"Cloud (AWS, GAE, Azure, etc.); iOS; Objective-C; Swift",Yes,8.0,I'm a student,,,,,,,,Sublime; Android Studio; Eclipse; Xamarin,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",10-20 hours per week,Cats,Windows 10,I don't know,I don't have an account,Once a day,I'm curious,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Quality of colleagues; Company culture; Building something that's innovative,Writing cover letters,80%,Introduce me to the boss; Introduce me to the team; Prepare me for who I will be speaking with,,Neutral,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Neutral,Agree completely,Neutral,Neutral,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,I don't care about this,,
52871,Facebook,Canada,North America,North America,20-24,22.0,Male,Developer,Graphics programmer,Graphics programmer,6 - 10 years,8.0,"Less than $10,000",5000.0,4.14,Android; Arduino / Raspberry Pi; C++; Python,Arduino / Raspberry Pi; C++,Yes,4.0,I'm a student,,,,,,,,Vim; Visual Studio,Multiple times a day,20+ hours per week,Cats,Ubuntu,Yes,I don't have an account,Multiple times a day,To build a specific product I have in mind,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Industry; Quality of colleagues; Company culture,Writing my CV and keeping it updated,,Introduce me to the team,Star Trek,Agree completely,Agree somewhat,Agree completely,Neutral,Agree completely,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree somewhat,This is very important,This is very important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,Poor team dynamics; Fragile code base,To receive help on my personal projects
52935,Facebook,Canada,North America,North America,20-24,22.0,Male,Developer; Programmer; Full-stack Developer,Desktop developer,Desktop developer,2 - 5 years,3.5,Unemployed,,4.14,C++; Java,C++; Haskell; MongoDB; Redis; Rust,Other (please specify),5.0,I'm a student,,,,,,,,Vim; IntelliJ,Multiple times a day,2-5 hours per week,Dogs,Other Linux,Yes,2 - 100,Multiple times a day,I want to be a better developer,I'm self-taught; Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Equity; Ability to make or influence important decisions; Quality of colleagues; Company culture; Flexible work hours,Other (please specify),30%,Show me more live code; Introduce me to the team; Show me the space in which I will work,,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Neutral,Disagree somewhat,Agree completely,Agree somewhat,Disagree somewhat,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,I don't care about this,Poor team dynamics; Corporate policies; Interacting with stupid people,To get help for my job; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
52937,Facebook,Canada,North America,North America,25-29,27.0,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$70,000 - $80,000",75000.0,4.14,C++; Python,"Cloud (AWS, GAE, Azure, etc.); Go; Spark",Yes,7.0,Employed full-time,Web Services,20-99 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Vim; IPython / Jupyter,A couple times a week,None,Dogs,Mac OS X,Yes,1,Once a week,I'm curious,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Equity; Ability to make or influence important decisions; Health insurance; Company financials; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Building something that's significant; Flexible work hours; Building something that's innovative,Searching for a job that seems interesting,100%,Introduce me to the team; Fewer brainteasers; Prepare me for who I will be speaking with,,Neutral,Agree completely,Agree completely,Agree somewhat,Agree completely,Disagree somewhat,Agree somewhat,Neutral,Agree somewhat,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Interacting with stupid people; Unspecific requirements,To get help for my job
53042,Facebook,Canada,North America,North America,25-29,27.0,Male,Developer; Programmer,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"$30,000 - $40,000",35000.0,4.14,C#; JavaScript; Spark; SQL Server; Visual Basic,AngularJS; C#; Dart; JavaScript; Node.js,Other (please specify),7.0,Employed full-time,Consulting,100-499 employees,15-20 people,0,Never,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Visual Studio,Multiple times a day,None,Cats,Windows 10,Other (please specify),1,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Full-time, intensive program (e.g. ""boot-camp""); Some college coursework in Computer Science (or related field)",I am not interested in new job opportunities,Salary; Tech stack; Office location; Company culture; Remote working option; Flexible work hours,The interview process,10%,Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Agree completely,Disagree somewhat,Agree completely,Agree somewhat,Neutral,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,Unrealistic expectations; Corporate policies; Interacting with stupid people,To get help for my job
1247,Facebook,Chile,South America,South America,30-34,32.0,Male,Programmer; Sr. Developer,Back-end web developer,Back-end web developer,11+ years,13.0,"$90,000 - $100,000",95000.0,,Python,Scala,No,8.0,Employed full-time,Retail,"1,000-4,999 employees",15-20 people,2,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Eclipse,Once a day,2-5 hours per week,Dogs,Windows 7,Yes,I don't have an account,Once a day,I'm curious,Part-time program (e.g. night school),"I'm not actively looking, but I am open to new opportunities",Building something that's significant,The interview process,70%,Introduce me to the team; Show me the space in which I will work,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree somewhat,Neutral,Agree somewhat,Neutral,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,Poor team dynamics; Inefficient development processes; Fragile code base,To get help for my job
28980,Facebook,Chile,South America,South America,30-34,32.0,Male,Developer; Engineer; Programmer; Expert,other,,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,,C; C++; Hadoop; Java; Python; SQL,Go; Hadoop; Scala; Spark,Yes,8.0,Employed full-time,Media / Advertising,"1,000-4,999 employees",5-9 people,0,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Sublime; Vim; IntelliJ; IPython / Jupyter; NetBeans; PyCharm; Visual Studio,Multiple times a day,2-5 hours per week,Dogs,Windows 8,Yes,I don't have an account,Once a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Building something that's significant,Taking time off work to interview,80%,Introduce me to the boss; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Neutral,Agree completely,Agree completely,Agree completely,Disagree completely,,Agree somewhat,Disagree somewhat,Neutral,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,I don't care about this,Changing requirements; Unspecific requirements,To get help for my job; Beacause I love to learn
29027,Facebook,Chile,South America,South America,25-29,27.0,Male,Engineer; Sr. Developer; Rockstar; Ninja; Guru; Expert; Full Stack Overflow Developer; Hacker,other,,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,,C; C++; Hadoop; Java; Python; SQL,C; C++; Cassandra; Clojure; Go; Hadoop; Haskell; Java; Python; Scala; Spark,Yes,10.0,Employed full-time,Media / Advertising,"1,000-4,999 employees",5-9 people,0,I rarely work remotely,I love my job,A friend referred me,Sublime; Vim; Eclipse; NetBeans; PyCharm; Visual Studio,Multiple times a day,None,Dogs,Windows 7,Yes,I'm not sure,Once a week,I'm curious,I'm self-taught; B.A. in Computer Science (or related field); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),,,,,,,,,,,,,,,,,,,,,,,,,,,,
48530,Facebook,Chile,South America,South America,25-29,27.0,Male,Developer; Programmer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",6 - 10 years,8.0,"$30,000 - $40,000",35000.0,,C#; Objective-C,C#; Swift,No,7.0,Freelance / Contractor,Gaming,1-4 employees,1-4 people,1,Full-time remote,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Xamarin; Xcode,Once a day,10-20 hours per week,Cats,Mac OS X,Yes,101 - 500,Multiple times a day,To pursue career goals,Masters Degree in Computer Science (or related field),I am actively looking for a new job,Salary; Tech stack; Quality of colleagues; Company culture; Remote working option; Flexible work hours,The interview process,50%,Show me more live code; Fewer brainteasers,,Neutral,Agree somewhat,Agree somewhat,Neutral,Agree completely,Disagree completely,Neutral,Disagree somewhat,Disagree completely,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is very important,I don't care about this,Inefficient development processes; Fragile code base; Poor documentation,To get help for my job
49702,Facebook,Chile,South America,South America,25-29,27.0,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"$20,000 - $30,000",25000.0,,AngularJS; Java; JavaScript,"C#; Cloud (AWS, GAE, Azure, etc.); MongoDB; Node.js; Ruby; Swift",Yes,6.0,Employed full-time,Finance / Banking,10-19 employees,1-4 people,1,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Sublime; IntelliJ; NetBeans; Visual Studio Code,Once a day,1-2 hours per week,Cats,Ubuntu,No,2 - 100,Multiple times a day,I want to be a better developer,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Opportunity for advancement; Flexible work hours,The interview process,10%,Show me more live code; Be more flexible about interview scheduling; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Neutral,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree somewhat,Neutral,Agree somewhat,Agree completely,Agree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,Unrealistic expectations; Interacting with non-technical people; Changing requirements,To get help for my job; To give help to others; Beacause I love to learn
49992,Facebook,Chile,South America,South America,25-29,27.0,Male,Programmer,Student,Student,1 - 2 years,1.5,Unemployed,,,C; Java; JavaScript,Android; AngularJS; C; C++; Go; Java; JavaScript; MongoDB; Node.js; Python; Ruby; Scala; SQL,Yes,3.0,I'm a student,,,,,,,,Notepad++,I never check-in or commit code,2-5 hours per week,Dogs,Windows 7,I don't know,I'm not sure,Multiple times a day,I want to be a better developer,B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Industry; Remote working option; Building something that's innovative,Finding an open job that I'm qualified for,0%,Show me more live code; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Neutral,Neutral,Agree somewhat,Neutral,Agree completely,Disagree completely,Neutral,Agree somewhat,Neutral,Agree somewhat,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,Unrealistic expectations; Outdated technologies; Interacting with stupid people,Beacause I love to learn
51493,Facebook,Chile,South America,South America,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Full Stack Overflow Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$20,000 - $30,000",25000.0,,JavaScript; LAMP; PHP; Python; SQL,AngularJS; CoffeeScript; JavaScript; LAMP; Python; SQL,Other (please specify),8.0,Employed full-time,Software Products,20-99 employees,5-9 people,1,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Vim; Eclipse,A couple times a week,2-5 hours per week,Dogs,Ubuntu,I don't know,101 - 500,Multiple times a day,I learn new technology when my job requires it,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Work/life balance; Company culture,Writing cover letters,70%,Be more flexible about interview scheduling; interview_coffee,Star Wars,Agree completely,Agree somewhat,Agree completely,Neutral,Agree somewhat,Disagree completely,Agree somewhat,Neutral,Agree completely,Neutral,This is somewhat important,This is very important,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Unrealistic expectations; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; Because I can't do my job without it
52895,Facebook,Chile,South America,South America,20-24,22.0,Male,Engineer; Programmer; Manager; Rockstar,Student,Student,6 - 10 years,8.0,,,,Java; JavaScript; PHP; Ruby; SQL,Arduino / Raspberry Pi; C++; JavaScript; R,No,6.0,I'm a student,,,,,,,,Atom; Sublime; Vim,Multiple times a day,2-5 hours per week,Cats,Fedora,No,1,Multiple times a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Industry; Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture,Writing cover letters,10%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Fewer brainteasers,,Disagree completely,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Neutral,Disagree completely,Neutral,Disagree somewhat,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Outdated technologies; Non-technical management,To get help for my job; Because I can't do my job without it; Beacause I love to learn
52929,Facebook,Chile,South America,South America,25-29,27.0,Male,Developer; Engineer; Programmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,Facebook,China,Eastern Asia,East Asia,40-49,44.5,Male,Programmer; Expert,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$10,000 - $20,000",15000.0,2.68,C; JavaScript; SQL,C,Yes,8.0,Employed full-time,Other (please specify),5-9 employees,5-9 people,2,Never,I love my job,Contacted by company (in-house recruiter),Vim; Android Studio,Once a day,2-5 hours per week,Dogs,Windows 7,Yes,I'm not sure,Once a week,To keep my skills up to date,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),I am not interested in new job opportunities,Work/life balance; Company culture; Building something that's significant,The interview process,70%,Show me more live code; Be more flexible about interview scheduling; Introduce me to the team,Star Wars,Agree completely,Agree completely,Agree completely,Agree somewhat,Neutral,Disagree completely,Agree somewhat,Agree completely,Neutral,Neutral,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,I don't care about this,Poor documentation; Interacting with stupid people; Poor infrastructure or equipment,To get help for my job; To give help to others; Beacause I love to learn
